Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
1389,19-0925-EX1,Transfer from Capital/Operations - City Wide to William Penn Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-24911-ICR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,24911 William Penn Elementary School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$36,812",,
1390,19-0925-EX1,Transfer from William Penn Elementary School to Capital/Operations - City Wide,Funds Transfer From Project# 2019-24911-ICR To Award# 2020-488-00-06 ; Change Reason : NA,24911 William Penn Elementary School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,"$36,812",,
1391,19-0925-EX1,Transfer from Capital/Operations - City Wide to William Penn Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-24911-ICR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,24911 William Penn Elementary School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$36,812",,
1392,19-0925-EX1,Transfer from Teaching and Learning Office to Teaching and Learning Office,Transfer of funds to offset negative budget line.,10810 Teaching and Learning Office,115 General Education Fund,54125 Services - Professional/Administrative,230010 Administrative Support,000000 Default Value,10810 Teaching and Learning Office,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$38,000",,
1393,19-0925-EX1,Transfer from Early College and Career - City Wide to David G Farragut Career Academy High School,CTE Pre-Law Program Equipment,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53091 David G Farragut Career Academy High School,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,113096 Cte Law And Public Safety,474567 Special Student Needs-C. Perkins Fy20,"$38,100",,
1394,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Cesar E Chavez Multicultural Academic Center ES,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442186 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy20",25151 Cesar E Chavez Multicultural Academic Center ES,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,"442186 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy20","$38,233",,
1395,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Spencer Technology Academy,Transfer for Recruitment & Youth Intervention Specialist Positions,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,25441 Spencer Technology Academy,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$39,445",,
1396,19-0925-EX1,Transfer from Capital/Operations - City Wide to John A Walsh Elementary School,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-25731-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,25731 John A Walsh Elementary School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$39,457",,
1397,19-0925-EX1,Transfer from Early College and Career - City Wide to Theodore Roosevelt High School,CTE Teaching Program Computers,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46271 Theodore Roosevelt High School,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$39,495",,
1398,19-0925-EX1,Transfer from School Safety and Security Office to Safety and Security - City Wide,To complete purchase of X-ray machines worth $160k,10610 School Safety and Security Office,210 Workers' & Unemployment Compensation/Tort,56105 Services - Repair Contracts,254605 School Safety Services,000000 Default Value,10615 Safety and Security - City Wide,210 Workers' & Unemployment Compensation/Tort,55005 Property - Equipment,254605 School Safety Services,000000 Default Value,"$40,000",,
1399,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Social and Emotional Learning - City Wide,Requested increase from dept. falls planned expense falls under licenses and not non-digital.,10898 Social and Emotional Learning - City Wide,115 General Education Fund,53305 Instructional Materials (Non-Digital),211010 Tier I Services,000000 Default Value,10898 Social and Emotional Learning - City Wide,115 General Education Fund,53307 Commodities: Software Licenses (Instructional),211010 Tier I Services,000000 Default Value,"$40,000",,
1400,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for Instr. POs,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20","$40,340",,
1401,19-0925-EX1,Transfer from Department of Personalized Learning to Al Raby High School,Final Disbursement for Elevate Cohort 1 Program - Based on successful completion of blueprint,10825 Department of Personalized Learning,115 General Education Fund,55005 Property - Equipment,119070 Personalized Learning Instruction,000000 Default Value,46471 Al Raby High School,115 General Education Fund,55005 Property - Equipment,119070 Personalized Learning Instruction,000901 Other Gen Ed Funded Programs,"$41,000",,
1402,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for Non Instr. POs,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,297920 Other Government Funded - Support Services,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20","$41,081",,
1403,19-0925-EX1,Transfer from Early College and Career - City Wide to Charles Allen Prosser Career Academy High School,Software for CTE Machine Tech program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53041 Charles Allen Prosser Career Academy High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),144805 Machine Operator,474567 Special Student Needs-C. Perkins Fy20,"$41,520",,
1404,19-0925-EX1,Transfer from Capital/Operations - City Wide to Hawthorne Elementary Scholastic Academy,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-29131-STR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,29131 Hawthorne Elementary Scholastic Academy,488 Series 2017H,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$41,565",,
1405,19-0925-EX1,Transfer from Eric Solorio Academy High School to Education General - City Wide,"Duplicate, correction.",46101 Eric Solorio Academy High School,124 School Special Income Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,905011 Cff - Salesforce.Org Tuition Reimbursement,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,905000 Grants From Children First Fund,"$41,745",,
1406,19-0925-EX1,"Transfer from Sports Administration and Facilities Management - City Wide to Sports Administration and Facilities Management - City
Wide",Moving funding in order to create three coaching buckets.,"13737 Sports Administration and Facilities Management - City
Wide",115 General Education Fund,57940 Miscellaneous Charges,150006 Elementary Sports,000000 Default Value,"13737 Sports Administration and Facilities Management - City
Wide",115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$41,800",,
1407,19-0925-EX1,Transfer from Network 11 to Education General - City Wide,Reversing prior transaction.,02511 Network 11,124 School Special Income Fund,57940 Miscellaneous Charges,113090 Grants-Citywide Misc Fndtns,000309 Imc Charitable Foundation Donation,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,"$42,540",,
1408,19-0925-EX1,Transfer from Capital/Operations - City Wide to Helen Peirce International Studies ES,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-24891-PKC-1 ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,24891 Helen Peirce International Studies ES,488 Series 2017H,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$43,153",,
1409,19-0925-EX1,Transfer from Capital/Operations - City Wide to Benito Juarez Community Academy High School,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-46421-ICR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,46421 Benito Juarez Community Academy High School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$43,749",,
1410,19-0925-EX1,Transfer from Capital/Operations - City Wide to Nathanael Greene Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-23431-PKC ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,23431 Nathanael Greene Elementary School,488 Series 2017H,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$43,827",,
1411,19-0925-EX1,Transfer from Pre-K - 12 Curriculum to Arts,Start up funds for Camras Elementary STEM Programming.,10814 Pre-K - 12 Curriculum,115 General Education Fund,52100 Career Service Salaries - Regular,419001 Payroll Salvage,000000 Default Value,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,230010 Administrative Support,000000 Default Value,"$45,000",,
1412,19-0925-EX1,Transfer from James H Bowen High School to Bowen High School,FY20 program support for .5 bilingual / Spanish position; transfer from 46051 to 46491,46051 James H Bowen High School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000575 Student Based Budgeting,46491 Bowen High School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000575 Student Based Budgeting,"$45,000",,
1413,19-0925-EX1,Transfer from Citywide Student Support and Engagement to David G Farragut Career Academy High School,Transfer for Recruitment & Communication Coordinator Position,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,53091 David G Farragut Career Academy High School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$45,003",,
1414,19-0925-EX1,Transfer from Pre-K - 12 Curriculum to Pre-K - 12 Curriculum,Offset negative pointer line,10814 Pre-K - 12 Curriculum,115 General Education Fund,54125 Services - Professional/Administrative,221206 Learning Technology,000000 Default Value,10814 Pre-K - 12 Curriculum,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$45,152",,
1415,19-0925-EX1,Transfer from Information & Technology Services to Information & Technology Services,To facilitate the purchase of telecom equipment for opening facility - Devry,12510 Information & Technology Services,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,12510 Information & Technology Services,115 General Education Fund,55005 Property - Equipment,266418 Technology Purchases,000000 Default Value,"$45,665",,
1416,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Richard Henry Lee Elementary School,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,442185 21st Century Community Learning Centers Fy20,26331 Richard Henry Lee Elementary School,"324 Miscellaneous Federal, State & Local Grants",51130 Teacher Salaries - Extended Day,119035 Other Instruction Purposes - Miscellaneous,442185 21st Century Community Learning Centers Fy20,"$45,890",,
1417,19-0925-EX1,Transfer from Capital/Operations - City Wide to George Washington Carver Primary School,Funds Transfer From Award# 2020-488-00-05 To Project# 2019-22621-OPI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,22621 George Washington Carver Primary School,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$46,000",,
1418,19-0925-EX1,Transfer from Capital/Operations - City Wide to George Washington Carver Primary School,Funds Transfer From Award# 2020-488-00-03 To Project# 2019-22621-OPI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,22621 George Washington Carver Primary School,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$46,000",,
1419,19-0925-EX1,Transfer from Capital/Operations - City Wide to Neal F Simeon Career Academy High School,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-53061-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,53061 Neal F Simeon Career Academy High School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$46,575",,
1420,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Carl Schurz High School,Transfer for Recruitment & Youth Intervention Specialist Position,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,46281 Carl Schurz High School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$46,641",,
1421,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Counseling and Postsecondary Advising,Shifting funds from Misc. line for Summer Melt to cover Summer Melt Bucket costs.,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,160011 Summer School,399929 Healthy Communities Investments 19-3999,10850 Counseling and Postsecondary Advising,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,399929 Healthy Communities Investments 19-3999,"$47,541",,
1422,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Morgan Park High School,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20",46251 Morgan Park High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20","$47,855",,
1423,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Horace Greeley Elementary School,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442191 21st Century Community Learning Centers - (Cohort
15-Grant 6) Fy20",22661 Horace Greeley Elementary School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,"442191 21st Century Community Learning Centers - (Cohort
15-Grant 6) Fy20","$48,500",,
1424,19-0925-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,Funds will be used to pay for PD with New Teachers Center,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54125 Services - Professional/Administrative,221011 Improvement Of Instruction,474567 Special Student Needs-C. Perkins Fy20,"$49,100",,
1425,19-0925-EX1,Transfer from Department of JROTC to Phoenix Military Academy High School,Transfer needed to support fee for Academic Approach for STEM cadets at Phoenix.,05261 Department of JROTC,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 532011,,55011 Phoenix Military Academy High School,"324 Miscellaneous Federal, State & Local Grants","54505 Seminar, Fees, Subscriptions, Professional
Memberships",221011 Improvement Of Instruction,"532011 Accelerated Stem Program Of Study And Leadership
Development Fy19","$49,235","Improvement Of Instruction
Accelerated Stem Program Of Study And Leadership
Development Fy19",
1426,19-0925-EX1,Transfer from Facility Opers & Maint - City Wide to Information & Technology Services,Extension of Facilities Service Now Pilot Project,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,57940 Miscellaneous Charges,266203 Technical Support,000000 Default Value,12510 Information & Technology Services,115 General Education Fund,54125 Services - Professional/Administrative,266203 Technical Support,000000 Default Value,"$49,454",,
1427,19-0925-EX1,Transfer from Gage Park High School to Education General - City Wide,Transfer back,46141 Gage Park High School,367 Title I - Comprehensive School Reform,52100 Career Service Salaries - Regular,211001 Attendance & Social Work,424088 Sig - Gage Park (Cohort 6) Fy20,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$49,503",,
1428,19-0925-EX1,Transfer from Education General - City Wide to Other Government Funded,Transfer funds for mass transfer for reloading of unused School-Year Bucket funds for FY19 IL-Empower grant.,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,12694 Other Government Funded,367 Title I - Comprehensive School Reform,51130 Teacher Salaries - Extended Day,221011 Improvement Of Instruction,433139 Il-Empower (Cohort 19 - Grant 9) Fy19,"$49,903",,
1429,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$50,000",,
1430,19-0925-EX1,Transfer from Nutrition Support Services - City Wide to Nutrition Support Services - City Wide,Professional moving services - kitchen equipment and cafeteria tables.,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,54105 Services: Non-technical/Laborer,254028 Moves,000000 Default Value,"$50,000",,
1431,19-0925-EX1,Transfer from Education General - City Wide to Early College and Career - City Wide,"ECCE Englewood Summer Jobs vendor payment. Funds were originally loaded in FY19 but not spent. The vendor is being paid in
FY20.",12670 Education General - City Wide,115 General Education Fund,57940 Miscellaneous Charges,119004 Other General Charges,005063 Fy19 School Actions - Englewood,13727 Early College and Career - City Wide,115 General Education Fund,54125 Services - Professional/Administrative,212017 Other Govt Fnded Prjts-Guidnce,005063 Fy19 School Actions - Englewood,"$50,000",,
1432,19-0925-EX1,Transfer from Education General - City Wide to School Transportation - City Wide,CTA cards for RHHT students,12670 Education General - City Wide,115 General Education Fund,57940 Miscellaneous Charges,119004 Other General Charges,005063 Fy19 School Actions - Englewood,11940 School Transportation - City Wide,115 General Education Fund,54210 Pupil Transportation,255052 General Transportation Services,005063 Fy19 School Actions - Englewood,"$50,000",,
1433,19-0925-EX1,Transfer from Capital/Operations - City Wide to Information & Technology Services,Funds Transfer From Award# 2020-488-00-08 To Project# 2020-12510-EDT ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,266418 Technology Purchases,000000 Default Value,12510 Information & Technology Services,488 Series 2017H,56310 Capitalized Construction,266418 Technology Purchases,000000 Default Value,"$50,000",,
1434,19-0925-EX1,Transfer from Education General - City Wide to Consolidated Pointer Line Unit,Transferring funds to open positions,12670 Education General - City Wide,115 General Education Fund,57915 Miscellaneous - Contingent Projects,231601 Labor & Employee Relations,000313 Cba - Teacher Assistants K-2nd,12690 Consolidated Pointer Line Unit,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000313 Cba - Teacher Assistants K-2nd,"$50,000",,
1435,19-0925-EX1,Transfer from Citywide Student Support and Engagement to David G Farragut Career Academy High School,Transfer for Youth Intervention Specialist Position,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,53091 David G Farragut Career Academy High School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$51,392",,
1436,19-0925-EX1,Transfer from Capital/Operations - City Wide to Austin Multiplex,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-66511-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,66511 Austin Multiplex,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$52,794",,
1437,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for instructional PO,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442195 21st Century Community Learning Centers (Cohort
19-Grant 3) Fy20",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,"442195 21st Century Community Learning Centers (Cohort
19-Grant 3) Fy20","$53,000",,
1438,19-0925-EX1,Transfer from Capital/Operations - City Wide to Scott Joplin Elementary School,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-22281-OPI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,22281 Scott Joplin Elementary School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$54,368",,
1439,19-0925-EX1,Transfer from Capital/Operations - City Wide to Mary Lyon Elementary School,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-24281-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,24281 Mary Lyon Elementary School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$54,916",,
1440,19-0925-EX1,Transfer from Capital/Operations - City Wide to Paul Robeson High School,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-49121-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,46121 Paul Robeson High School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$55,900",,
1441,19-0925-EX1,Transfer from Capital/Operations - City Wide to Little Village Multiplex,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-49121-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,49121 Little Village Multiplex,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$55,900",,
1442,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Muhammad Univ,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,430219 Nonpublic Inst. & Supp. Serv. - Catholic,69550 Muhammad Univ,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,131001 Evening School Programs,430220 Nonpublic Inst. & Supp. Serv. - Independ.,"$56,030",,
1443,19-0925-EX1,Transfer from School Support Center - City Wide to School Support Center - City Wide,Services-Professional/Administrative.,15010 School Support Center - City Wide,115 General Education Fund,57940 Miscellaneous Charges,241017 Ssc Premium Services,000576 Supplemental Aid,15010 School Support Center - City Wide,115 General Education Fund,54125 Services - Professional/Administrative,241017 Ssc Premium Services,000576 Supplemental Aid,"$56,155",,
1444,19-0925-EX1,Transfer from Education General - City Wide to Network 16,Englewood Transition FTE.,12670 Education General - City Wide,115 General Education Fund,57940 Miscellaneous Charges,119004 Other General Charges,005063 Fy19 School Actions - Englewood,02661 Network 16,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,005063 Fy19 School Actions - Englewood,"$56,431",,
1445,19-0925-EX1,Transfer from Citywide Student Support and Engagement to John F Kennedy High School,Transferring funds to SCS school to fund position in SCS plan - per Emily Lau.,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,46201 John F Kennedy High School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$56,602",,
1446,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Daniel R Cameron Elementary School,Transfer for Counselor Position,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,22531 Daniel R Cameron Elementary School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$56,990",,
1447,19-0925-EX1,Transfer from Department of Personalized Learning to Perkins Bass Elementary School,Final Disbursement for Elevate Cohort 1 Program - Based on successful completion of blueprint,10825 Department of Personalized Learning,115 General Education Fund,55005 Property - Equipment,119070 Personalized Learning Instruction,000000 Default Value,22161 Perkins Bass Elementary School,115 General Education Fund,55005 Property - Equipment,119070 Personalized Learning Instruction,000901 Other Gen Ed Funded Programs,"$58,000",,
1448,19-0925-EX1,Transfer from Capital/Operations - City Wide to John Palmer Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2018-24821-MCR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,24821 John Palmer Elementary School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$58,715",,
1449,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for Instr. POs,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442192 21st Century Community Learning Centers - (Cohort
15-Grant 7) Fy20",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,"442192 21st Century Community Learning Centers - (Cohort
15-Grant 7) Fy20","$58,995",,
1450,19-0925-EX1,Transfer from Capital/Operations - City Wide to George Westinghouse College Prep,Funds Transfer From Award# 2020-488-00-10 To Project# 2020-53071-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009506 Asset Management Repairs,000000 Default Value,53071 George Westinghouse College Prep,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$58,996",,
